month,hat
2024-12-01,73.0
2025-01-01,75.0
2025-02-01,73.0
2025-03-01,73.0
2025-04-01,73.5
2025-05-01,77.25
2025-06-01,80.0
2025-07-01,79.0
2025-08-01,82.6
2025-09-01,84.25
2025-10-01,93.75
2025-11-01,91.2
